ARRIVAL_DATETIME,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLATION_REASON,AIRLINE_DELAY
2015-02-21 10:00:00,STL,ATL,Weather,
2015-02-21 10:00:00,TYS,ATL,Weather,
2015-02-21 11:00:00,TRI,ATL,Weather,
2015-02-21 12:00:00,ROA,ATL,Weather,
2015-02-21 14:00:00,STL,ATL,Weather,
2015-02-21 13:00:00,TYS,ATL,Weather,
2015-02-21 14:00:00,DCA,ATL,Weather,
2015-02-21 18:00:00,ASE,ATL,Weather,
2015-02-21 16:00:00,DCA,ATL,Weather,
2015-02-21 15:00:00,ROA,ATL,Weather,
2015-02-21 16:00:00,PHL,ATL,Weather,
2015-02-21 16:00:00,CHO,ATL,Weather,
2015-02-21 16:00:00,DCA,ATL,Weather,
2015-02-21 17:00:00,DCA,ATL,Weather,
2015-02-21 18:00:00,PHL,ATL,Weather,
2015-02-21 18:00:00,BWI,ATL,Weather,
2015-02-21 18:00:00,CAK,ATL,Weather,
2015-02-21 18:00:00,CMH,ATL,Weather,
2015-02-21 19:00:00,DCA,ATL,Weather,
2015-02-21 20:00:00,BWI,ATL,Weather,
2015-02-21 21:00:00,LGA,ATL,Weather,
2015-02-21 21:00:00,PHL,ATL,Weather,
2015-02-21 23:00:00,DEN,ATL,Weather,
2015-02-21 21:00:00,DCA,ATL,Weather,
2015-02-21 22:00:00,DCA,ATL,Weather,
2015-02-22 09:00:00,LGA,ATL,Weather,
2015-02-22 08:00:00,CHO,ATL,Weather,
2015-02-22 10:00:00,BDL,ATL,Weather,
2015-02-22 09:00:00,DCA,ATL,Weather,
2015-02-22 10:00:00,MSY,ATL,Weather,
2015-02-22 09:00:00,ROA,ATL,Weather,
2015-02-22 10:00:00,PHL,ATL,Weather,
